Norwood	Nova Scotia	Canada	44.0667029	-66.019758	17	197
West Berlin	Nova Scotia	Canada	44.0672	-64.5831	87	198
Eagle Head	Nova Scotia	Canada	44.0717	-64.6053	100	199
East Berlin	Nova Scotia	Canada	44.07343	-64.561339	27	200
Mayflower	Nova Scotia	Canada	44.074563	-66.115096	104	201
North Kemptville	Nova Scotia	Canada	44.078758	-65.834615	114	202
Forest Glen	Nova Scotia	Canada	44.083112	-65.910624	135	203
East Kemptville	Nova Scotia	Canada	44.083333	-65.766667	134	204
Cape St. Mary	Nova Scotia	Canada	44.0859611	-66.2110323	78	205
Hectanooga	Nova Scotia	Canada	44.092716	-66.0281569	77	206
Mavillette	Nova Scotia	Canada	44.100811	-66.18522	229	207
Richfield	Nova Scotia	Canada	44.115725	-65.922785	25	208
Port Medway	Nova Scotia	Canada	44.1258	-64.5739	232	209
Medway	Nova Scotia	Canada	44.1315	-64.6278	87	210
St. Alphonse	Nova Scotia	Canada	44.132705	-66.177066	181	211
Bear Cove	Nova Scotia	Canada	44.13733673	-66.18298883	37	212
Mill Village	Nova Scotia	Canada	44.1447	-64.6486	593	213
Cherry Hill	Nova Scotia	Canada	44.1499	-64.4987	165	214
East Port Medway	Nova Scotia	Canada	44.1569	-64.5719	105	215
Voglers Cove	Nova Scotia	Canada	44.157224	-64.533346	192	216
Charleston	Nova Scotia	Canada	44.1625	-64.6745	167	217
Maxwellton	Nova Scotia	Canada	44.163687	-66.053547	14	218
St. Martin	Nova Scotia	Canada	44.163946	-66.145597	188	219
Riversdale	Nova Scotia	Canada	44.18307279	-64.675079	35	220
Broad Cove	Nova Scotia	Canada	44.18564562	-64.48084131	185	221
Meteghan	Nova Scotia	Canada	44.1884	-66.1616	783	222
Clare Lake	Nova Scotia	Canada	44.194914	-66.1060847	29	223
Meteghan Centre	Nova Scotia	Canada	44.196593	-66.1478489	238	224
Danesville	Nova Scotia	Canada	44.2	-64.616667	141	225
Meteghan Station	Nova Scotia	Canada	44.204421	-66.092378	223	226
Middlefield	Nova Scotia	Canada	44.2092	-64.8657	66	227
St. Benoni	Nova Scotia	Canada	44.210986	-66.123347	128	228
Green Bay	Nova Scotia	Canada	44.214425	-64.436777	23	229
Meteghan River	Nova Scotia	Canada	44.214982	-66.143744	440	230
Bangor	Nova Scotia	Canada	44.216667	-66.1	141	231
Middlewood	Nova Scotia	Canada	44.2233	-64.5724	428	232
La Have Islands	Nova Scotia	Canada	44.2246359	-64.358675	30	233
Lower Saulnierville	Nova Scotia	Canada	44.233098	-66.134115	154	234
Petite Rivière	Nova Scotia	Canada	44.233279	-64.447328	298	235
Corberrie	Nova Scotia	Canada	44.235074	-65.9288289	76	236
Mosers Island	Nova Scotia	Canada	44.237923	-64.329752	29	237
Bush island	Nova Scotia	Canada	44.237979	-64.370741	52	238
Pleasantfield	Nova Scotia	Canada	44.2413	-64.9052	34	239
Crescent Beach	Nova Scotia	Canada	44.2477	-64.4025	76	240
Bangs Falls	Nova Scotia	Canada	44.2478	-64.8327	37	241
Crousetown	Nova Scotia	Canada	44.2486	-64.4775	218	242
Lower Concession	Nova Scotia	Canada	44.25	-66.083333	49	243
Saulnierville Station	Nova Scotia	Canada	44.25049083	-66.09660974	307	244
West Dublin	Nova Scotia	Canada	44.2541	-64.3991	162	245
Westport	Nova Scotia	Canada	44.2617409	-66.3547365	193	246
Camperdown	Nova Scotia	Canada	44.2637799	-64.602113	338	247
St. Joseph	Nova Scotia	Canada	44.2646375	-66.0071879	66	248
Saulnierville	Nova Scotia	Canada	44.2660967	-66.12382984	425	249
Italy Cross	Nova Scotia	Canada	44.2668	-64.5497	235	250
Dublin Shore	Nova Scotia	Canada	44.2676	-64.3678	171	251
Greenfield	Nova Scotia	Canada	44.27097169	-64.84113094	165	252
Kingsburg	Nova Scotia	Canada	44.2766	-64.2659	99	253
New Tusket	Nova Scotia	Canada	44.2784509	-65.903767	97	254
Pentz	Nova Scotia	Canada	44.279319	-64.392646	123	255
Freeport	Nova Scotia	Canada	44.2796183	-66.3177176	217	256
Concession	Nova Scotia	Canada	44.281	-66.073	357	257
Lower Lahave	Nova Scotia	Canada	44.2831	-64.3374	105	258
New Cumberland	Nova Scotia	Canada	44.283333	-64.45	200	259
Comeauville	Nova Scotia	Canada	44.283333	-66.1333329	239	260
Five Houses	Nova Scotia	Canada	44.28375254	-64.32936534	32	261
Mount Pleasant	Nova Scotia	Canada	44.28381741	-64.43239013	172	262
Kraut Point	Nova Scotia	Canada	44.2867679	-64.3399394	20	263
Fort Point	Nova Scotia	Canada	44.28934915	-64.35226957	13	264
Little Brook Station	Nova Scotia	Canada	44.290169	-66.094677	126	265
Lahave	Nova Scotia	Canada	44.2922	-64.3569	194	266
Lapland	Nova Scotia	Canada	44.293981	-64.679446	95	267
Riverport	Nova Scotia	Canada	44.2944	-64.3275	299	268
Indian Path	Nova Scotia	Canada	44.2972794	-64.3201573	53	269
Rose Bay	Nova Scotia	Canada	44.2982	-64.3055	273	270
Havelock	Nova Scotia	Canada	44.3	-65.916667	60	271
Little Brook	Nova Scotia	Canada	44.3006483	-66.1182117	174	272
Hebbs Cross	Nova Scotia	Canada	44.303144	-64.566175	408	273
Conquerall Mills	Nova Scotia	Canada	44.308092	-64.525872	545	274
Buckfield	Nova Scotia	Canada	44.308904	-64.78993	63	275
Labelle	Nova Scotia	Canada	44.3119	-64.8341	71	276
West Lahave	Nova Scotia	Canada	44.3125	-64.4149	265	277
Hilltown	Nova Scotia	Canada	44.3148	-65.9031	122	278
Bayport	Nova Scotia	Canada	44.315	-64.3023	183	279
Lake Centre	Nova Scotia	Canada	44.316	-64.4824	137	280
East Lahave	Nova Scotia	Canada	44.3164	-64.3658	177	281
Easton	Nova Scotia	Canada	44.316667	-65.866667	36	282
New France	Nova Scotia	Canada	44.317	-65.7662	51	283
Middle Lahave	Nova Scotia	Canada	44.3212	-64.4082	221	284
Waterloo	Nova Scotia	Canada	44.3253	-64.6894	163	285
Feltzen South	Nova Scotia	Canada	44.3294	-64.2817	137	286
Molega	Nova Scotia	Canada	44.3327	-64.899	15	287
Hibernia	Nova Scotia	Canada	44.3328	-64.9831	81	288
Laconia	Nova Scotia	Canada	44.3361	-64.6408	87	289
Catidian Place	Nova Scotia	Canada	44.337705	-64.533088	151	290
Church Point	Nova Scotia	Canada	44.338503	-66.114493	387	291
Hassett	Nova Scotia	Canada	44.339402	-65.938463	115	292
Pleasantville	Nova Scotia	Canada	44.34112075	-64.44476592	474	293
Crouses Settlement	Nova Scotia	Canada	44.342589	-64.424696	78	294
Grimms Settlement	Nova Scotia	Canada	44.343367	-64.382767	41	295
Woodworth Road	Nova Scotia	Canada	44.343768	-64.634713	88	296
